nombre,genero,director,pais,duracion_ms
The Godfather Estados Unidos 25,Romance,Pedro Almodóvar,Estados Unidos,7160311
Pulp Fiction Estados Unidos 26,Ciencia ficción,Francis Ford Coppola,Estados Unidos,8476558
Pulp Fiction Estados Unidos 27,Romance,Bong Joon-ho,Estados Unidos,6505344
The Matrix Estados Unidos 28,Comedia,Andrey Zvyagintsev,Estados Unidos,7755388
Forrest Gump Estados Unidos 29,Crimen,Steven Spielberg,Estados Unidos,8549949
The Dark Knight Estados Unidos 30,Drama,Christopher Nolan,Estados Unidos,9593294
Avatar Estados Unidos 31,Comedia,Guillermo del Toro,Estados Unidos,6825522
Inception Estados Unidos 32,Aventura,Guillermo del Toro,Estados Unidos,8413809
Pulp Fiction Estados Unidos 33,Crimen,James Cameron,Estados Unidos,9437075
Parasite Estados Unidos 34,Drama,Bong Joon-ho,Estados Unidos,7578457
The Godfather Estados Unidos 35,Aventura,Andrey Zvyagintsev,Estados Unidos,6491558
The Dark Knight Estados Unidos 36,Acción,Andrey Zvyagintsev,Estados Unidos,6498494
Inception Estados Unidos 37,Comedia,Bong Joon-ho,Estados Unidos,6026939
Forrest Gump Estados Unidos 38,Thriller,Martin Scorsese,Estados Unidos,6114134
The Matrix Estados Unidos 39,Thriller,Ridley Scott,Estados Unidos,9858547
Titanic Estados Unidos 40,Acción,Martin Scorsese,Estados Unidos,10267181
The Godfather Estados Unidos 41,Aventura,Guillermo del Toro,Estados Unidos,7801752
Parasite Estados Unidos 42,Crimen,Francis Ford Coppola,Estados Unidos,6802470
Inception Estados Unidos 43,Acción,Ridley Scott,Estados Unidos,8567250
The Matrix Estados Unidos 44,Thriller,Christopher Nolan,Estados Unidos,8129802
Parasite Estados Unidos 45,Crimen,Christopher Nolan,Estados Unidos,9645608
The Dark Knight Estados Unidos 46,Romance,Guillermo del Toro,Estados Unidos,9646349
Interstellar Estados Unidos 47,Acción,Steven Spielberg,Estados Unidos,9536942
Inception Estados Unidos 48,Romance,Pedro Almodóvar,Estados Unidos,7127580
Interstellar Estados Unidos 49,Ciencia ficción,Quentin Tarantino,Estados Unidos,8260195
The Matrix Estados Unidos 50,Romance,Quentin Tarantino,Estados Unidos,8252668
Inception Estados Unidos 51,Crimen,Ridley Scott,Estados Unidos,9804672
The Dark Knight Estados Unidos 52,Acción,Pedro Almodóvar,Estados Unidos,8341702
The Dark Knight Estados Unidos 53,Drama,Ridley Scott,Estados Unidos,6419210
Avatar Estados Unidos 54,Thriller,Andrey Zvyagintsev,Estados Unidos,10670178
Titanic Estados Unidos 55,Aventura,Pedro Almodóvar,Estados Unidos,9934905
Forrest Gump Estados Unidos 56,Crimen,Steven Spielberg,Estados Unidos,6853289
Pulp Fiction Estados Unidos 57,Crimen,Francis Ford Coppola,Estados Unidos,7630596
Gladiator Estados Unidos 58,Acción,Hayao Miyazaki,Estados Unidos,7794801
The Dark Knight Estados Unidos 59,Acción,Bong Joon-ho,Estados Unidos,6859978
The Matrix Estados Unidos 60,Acción,Pedro Almodóvar,Estados Unidos,6702795
Forrest Gump Estados Unidos 61,Thriller,Steven Spielberg,Estados Unidos,7249295
The Matrix Estados Unidos 62,Crimen,James Cameron,Estados Unidos,7755153
Inception Estados Unidos 63,Crimen,James Cameron,Estados Unidos,7050687
Avatar Estados Unidos 64,Romance,Guillermo del Toro,Estados Unidos,9037952
The Matrix Estados Unidos 65,Romance,Martin Scorsese,Estados Unidos,5984608
Pulp Fiction Estados Unidos 66,Ciencia ficción,Pedro Almodóvar,Estados Unidos,6689485
Avatar Estados Unidos 67,Thriller,Pedro Almodóvar,Estados Unidos,6497522
Gladiator Estados Unidos 68,Aventura,Ridley Scott,Estados Unidos,7617435
The Dark Knight Estados Unidos 69,Aventura,Quentin Tarantino,Estados Unidos,10525368
Titanic Estados Unidos 70,Acción,Quentin Tarantino,Estados Unidos,8729547
Titanic Estados Unidos 71,Ciencia ficción,Bong Joon-ho,Estados Unidos,8440199
Inception Estados Unidos 72,Drama,Ridley Scott,Estados Unidos,10241840
Pulp Fiction Estados Unidos 73,Aventura,Quentin Tarantino,Estados Unidos,6882553
Gladiator Estados Unidos 74,Acción,Christopher Nolan,Estados Unidos,8864555
Inception Estados Unidos 75,Crimen,Steven Spielberg,Estados Unidos,8524030
Pulp Fiction Estados Unidos 76,Thriller,Christopher Nolan,Estados Unidos,10350252
The Matrix Estados Unidos 77,Ciencia ficción,Christopher Nolan,Estados Unidos,10206062
Interstellar Estados Unidos 78,Romance,Quentin Tarantino,Estados Unidos,7288538
Gladiator Estados Unidos 79,Acción,Christopher Nolan,Estados Unidos,8095488
Pulp Fiction Estados Unidos 80,Thriller,Francis Ford Coppola,Estados Unidos,5956186
Forrest Gump Estados Unidos 81,Acción,Andrey Zvyagintsev,Estados Unidos,6200384
Pulp Fiction Estados Unidos 82,Romance,Quentin Tarantino,Estados Unidos,10794936
Gladiator Estados Unidos 83,Acción,Martin Scorsese,Estados Unidos,6507760
The Godfather Estados Unidos 84,Thriller,Ridley Scott,Estados Unidos,10611433
Pulp Fiction Estados Unidos 85,Ciencia ficción,Guillermo del Toro,Estados Unidos,7733607
Forrest Gump Estados Unidos 86,Aventura,Hayao Miyazaki,Estados Unidos,5429828
The Dark Knight Estados Unidos 87,Acción,Christopher Nolan,Estados Unidos,7847682
Gladiator Estados Unidos 88,Thriller,Francis Ford Coppola,Estados Unidos,9558076
The Matrix Estados Unidos 89,Ciencia ficción,Quentin Tarantino,Estados Unidos,6195892
Inception Estados Unidos 90,Acción,Martin Scorsese,Estados Unidos,10023716
Pulp Fiction Estados Unidos 91,Romance,Quentin Tarantino,Estados Unidos,7622168
Avatar Estados Unidos 92,Drama,Quentin Tarantino,Estados Unidos,10023088
Interstellar Estados Unidos 93,Thriller,Quentin Tarantino,Estados Unidos,6396477
Interstellar Estados Unidos 94,Acción,James Cameron,Estados Unidos,9082293
The Dark Knight Estados Unidos 95,Crimen,Martin Scorsese,Estados Unidos,6087840
Parasite Estados Unidos 96,Aventura,James Cameron,Estados Unidos,5680904
Titanic Estados Unidos 97,Ciencia ficción,Ridley Scott,Estados Unidos,8921311
The Dark Knight Estados Unidos 98,Drama,Andrey Zvyagintsev,Estados Unidos,6332200
Titanic Estados Unidos 99,Aventura,Steven Spielberg,Estados Unidos,10781198
Parasite Estados Unidos 100,Crimen,Martin Scorsese,Estados Unidos,9622395
Forrest Gump México 1,Romance,Bong Joon-ho,México,7883849
Gladiator México 2,Romance,Christopher Nolan,México,9958058
Titanic México 3,Ciencia ficción,Guillermo del Toro,México,7589337
Inception México 4,Acción,Martin Scorsese,México,9106307
Inception México 5,Aventura,James Cameron,México,8931929
Interstellar México 6,Drama,Hayao Miyazaki,México,9452664
The Dark Knight México 7,Crimen,Martin Scorsese,México,7737694
The Godfather México 8,Romance,Ridley Scott,México,7838234
Gladiator México 9,Crimen,Pedro Almodóvar,México,9453038
The Godfather México 10,Romance,Ridley Scott,México,8183300
Inception México 11,Comedia,Francis Ford Coppola,México,7984677
Avatar México 12,Thriller,Andrey Zvyagintsev,México,8861029
Pulp Fiction México 13,Comedia,Ridley Scott,México,6659536
Pulp Fiction México 14,Thriller,Christopher Nolan,México,6154201
The Dark Knight México 15,Drama,Bong Joon-ho,México,8026510
Avatar México 16,Romance,Ridley Scott,México,8139068
The Dark Knight México 17,Aventura,Christopher Nolan,México,6367607
The Dark Knight México 18,Ciencia ficción,Ridley Scott,México,7949251
Forrest Gump México 19,Acción,Martin Scorsese,México,5696034
Inception México 20,Crimen,Guillermo del Toro,México,5604106
The Matrix México 21,Ciencia ficción,James Cameron,México,10192943
Avatar México 22,Ciencia ficción,Guillermo del Toro,México,6876995
Interstellar México 23,Comedia,Pedro Almodóvar,México,6335366
The Matrix México 24,Crimen,James Cameron,México,6492210
Pulp Fiction México 25,Acción,Ridley Scott,México,10734922
The Godfather México 26,Crimen,Andrey Zvyagintsev,México,10226837
The Dark Knight México 27,Ciencia ficción,Ridley Scott,México,6957126
Titanic México 28,Acción,Ridley Scott,México,6841215
Parasite México 29,Comedia,Pedro Almodóvar,México,6645723
Forrest Gump México 30,Ciencia ficción,Quentin Tarantino,México,6127658
Pulp Fiction México 31,Acción,Ridley Scott,México,7462932
Gladiator México 32,Drama,Bong Joon-ho,México,5694444
The Dark Knight México 33,Aventura,Steven Spielberg,México,6275524
Forrest Gump México 34,Ciencia ficción,Steven Spielberg,México,10707337
Inception México 35,Aventura,Hayao Miyazaki,México,8967955
Parasite México 36,Crimen,Andrey Zvyagintsev,México,5757962
Parasite México 37,Comedia,Pedro Almodóvar,México,7151892
Forrest Gump México 38,Drama,Christopher Nolan,México,7493762
The Dark Knight México 39,Romance,Christopher Nolan,México,7166833
Titanic México 40,Aventura,Hayao Miyazaki,México,10373145
The Matrix México 41,Acción,Francis Ford Coppola,México,5777390
Gladiator México 42,Thriller,Ridley Scott,México,5407645
Parasite México 43,Drama,Hayao Miyazaki,México,7624755
Forrest Gump México 44,Comedia,Hayao Miyazaki,México,7209059
Interstellar México 45,Crimen,Hayao Miyazaki,México,6204582
Forrest Gump México 46,Aventura,Martin Scorsese,México,9214887
Forrest Gump México 47,Romance,Bong Joon-ho,México,8475805
Interstellar México 48,Acción,Guillermo del Toro,México,6823490
Pulp Fiction México 49,Acción,Steven Spielberg,México,7810299
Titanic México 50,Comedia,Hayao Miyazaki,México,7387244
Parasite México 51,Comedia,Andrey Zvyagintsev,México,6238569
The Matrix México 52,Ciencia ficción,Hayao Miyazaki,México,9760073
The Matrix México 53,Ciencia ficción,Steven Spielberg,México,9836051
Gladiator México 54,Thriller,Pedro Almodóvar,México,7569470
Interstellar México 55,Comedia,Ridley Scott,México,5688244
Forrest Gump México 56,Crimen,James Cameron,México,9220323
The Dark Knight México 57,Thriller,Guillermo del Toro,México,8565807
Parasite México 58,Romance,Martin Scorsese,México,9523937
Inception México 59,Crimen,Pedro Almodóvar,México,10575049
Pulp Fiction México 60,Ciencia ficción,Steven Spielberg,México,10357237
The Dark Knight México 61,Ciencia ficción,Guillermo del Toro,México,9687973
Titanic México 62,Crimen,Francis Ford Coppola,México,6149283
Parasite México 63,Ciencia ficción,Steven Spielberg,México,10630670
Interstellar México 64,Ciencia ficción,Hayao Miyazaki,México,9799773
Avatar México 65,Ciencia ficción,Quentin Tarantino,México,8945213
The Matrix México 66,Acción,Steven Spielberg,México,9649026
Parasite México 67,Thriller,Guillermo del Toro,México,7433705
Inception México 68,Drama,Andrey Zvyagintsev,México,7281105
Forrest Gump México 69,Ciencia ficción,Guillermo del Toro,México,5860632
Parasite México 70,Crimen,Christopher Nolan,México,9266127
Avatar México 71,Aventura,Christopher Nolan,México,5916690
The Dark Knight México 72,Comedia,Ridley Scott,México,9845799
Avatar México 73,Romance,Pedro Almodóvar,México,9568681
Inception México 74,Acción,Martin Scorsese,México,9274351
Forrest Gump México 75,Romance,Francis Ford Coppola,México,7315627
Pulp Fiction México 76,Ciencia ficción,Francis Ford Coppola,México,8141308
The Matrix México 77,Ciencia ficción,James Cameron,México,10185651
Pulp Fiction México 78,Ciencia ficción,Bong Joon-ho,México,7904439
Interstellar México 79,Drama,Quentin Tarantino,México,8957268
Forrest Gump México 80,Ciencia ficción,Hayao Miyazaki,México,10085945
The Godfather México 81,Acción,Quentin Tarantino,México,6880995
Interstellar México 82,Thriller,Bong Joon-ho,México,9708539
Interstellar México 83,Drama,Steven Spielberg,México,9959261
The Godfather México 84,Acción,Steven Spielberg,México,5784054
The Matrix México 85,Drama,Guillermo del Toro,México,8789033
Avatar México 86,Drama,Ridley Scott,México,10261339
Gladiator México 87,Aventura,Andrey Zvyagintsev,México,8382362
Gladiator México 88,Crimen,Pedro Almodóvar,México,9509076
The Godfather México 89,Drama,Guillermo del Toro,México,9481650
The Dark Knight México 90,Drama,Quentin Tarantino,México,9781519
Gladiator México 91,Romance,Christopher Nolan,México,6868590
Interstellar México 92,Crimen,Francis Ford Coppola,México,8874298
Pulp Fiction México 93,Romance,Christopher Nolan,México,6590536
Avatar México 94,Crimen,James Cameron,México,6707543
The Dark Knight México 95,Comedia,Andrey Zvyagintsev,México,9116740
Titanic México 96,Thriller,Pedro Almodóvar,México,5604085
The Matrix México 97,Aventura,Hayao Miyazaki,México,6881218
Avatar México 98,Drama,Quentin Tarantino,México,7128802
Gladiator México 99,Drama,Martin Scorsese,México,7926082
Avatar México 100,Acción,Quentin Tarantino,México,6407297
The Dark Knight España 1,Crimen,Pedro Almodóvar,España,9221235
Titanic España 2,Acción,Hayao Miyazaki,España,7727516
Interstellar España 3,Comedia,Andrey Zvyagintsev,España,7493500
The Matrix España 4,Drama,Pedro Almodóvar,España,10232622
Gladiator España 5,Comedia,Francis Ford Coppola,España,5685888
Forrest Gump España 6,Comedia,Andrey Zvyagintsev,España,10134259
The Dark Knight España 7,Crimen,Quentin Tarantino,España,5905120
Parasite España 8,Crimen,Ridley Scott,España,8482869
The Godfather España 9,Thriller,Martin Scorsese,España,5607376
Avatar España 10,Aventura,Pedro Almodóvar,España,9592494
The Godfather España 11,Crimen,Quentin Tarantino,España,7289441
Inception España 12,Ciencia ficción,Ridley Scott,España,7836350
Inception España 13,Ciencia ficción,James Cameron,España,9828691
The Matrix España 14,Drama,Hayao Miyazaki,España,8498791
Pulp Fiction España 15,Acción,Hayao Miyazaki,España,5526788
The Matrix España 16,Ciencia ficción,James Cameron,España,10100335
Parasite España 17,Drama,James Cameron,España,8883049
Pulp Fiction España 18,Ciencia ficción,Ridley Scott,España,7352931
Parasite España 19,Ciencia ficción,James Cameron,España,9021943
Interstellar España 20,Comedia,Andrey Zvyagintsev,España,6226769
Gladiator España 21,Aventura,Bong Joon-ho,España,8373860
The Godfather España 22,Ciencia ficción,Andrey Zvyagintsev,España,9915174
Parasite España 23,Ciencia ficción,Pedro Almodóvar,España,6734258
Forrest Gump España 24,Comedia,Pedro Almodóvar,España,9093015
Parasite España 25,Crimen,Quentin Tarantino,España,7678474
The Godfather España 26,Drama,Pedro Almodóvar,España,10244732
Parasite España 27,Acción,Bong Joon-ho,España,7038650
Forrest Gump España 28,Comedia,Quentin Tarantino,España,10759714
The Matrix España 29,Ciencia ficción,Martin Scorsese,España,7090113
Interstellar España 30,Ciencia ficción,Hayao Miyazaki,España,5498395
Avatar España 31,Comedia,Bong Joon-ho,España,9663314
The Godfather España 32,Crimen,Quentin Tarantino,España,10637311
Gladiator España 33,Aventura,Christopher Nolan,España,10793183
Gladiator España 34,Romance,Steven Spielberg,España,10278984
Inception España 35,Crimen,Ridley Scott,España,10475266
Interstellar España 36,Ciencia ficción,Bong Joon-ho,España,5540608
Gladiator España 37,Crimen,Martin Scorsese,España,10220969
Gladiator España 38,Aventura,Ridley Scott,España,5692519
Forrest Gump España 39,Acción,Andrey Zvyagintsev,España,5872043
Parasite España 40,Drama,Steven Spielberg,España,6812507
Gladiator España 41,Aventura,Bong Joon-ho,España,10488808
Pulp Fiction España 42,Crimen,Ridley Scott,España,5779100
Avatar España 43,Aventura,Andrey Zvyagintsev,España,9307639
The Matrix España 44,Thriller,Ridley Scott,España,5958550
Gladiator España 45,Acción,Christopher Nolan,España,8866800
Interstellar España 46,Ciencia ficción,Andrey Zvyagintsev,España,7012333
The Matrix España 47,Ciencia ficción,Francis Ford Coppola,España,10708973
Forrest Gump España 48,Romance,Christopher Nolan,España,9592518
Gladiator España 49,Thriller,Steven Spielberg,España,10148421
Pulp Fiction España 50,Thriller,Andrey Zvyagintsev,España,5769744
Parasite España 51,Comedia,Hayao Miyazaki,España,8071500
Avatar España 52,Acción,Pedro Almodóvar,España,7309017
Pulp Fiction España 53,Comedia,Guillermo del Toro,España,7437265
Inception España 54,Comedia,Andrey Zvyagintsev,España,8872172
The Godfather España 55,Ciencia ficción,James Cameron,España,7683895
Avatar España 56,Aventura,Christopher Nolan,España,8236141
The Matrix España 57,Acción,Hayao Miyazaki,España,7837434
The Godfather España 58,Acción,Hayao Miyazaki,España,9112170
The Godfather España 59,Romance,Francis Ford Coppola,España,10389459
Parasite España 60,Acción,Ridley Scott,España,5436570
The Godfather España 61,Thriller,Andrey Zvyagintsev,España,9677046
The Matrix España 62,Romance,Ridley Scott,España,10666389
The Matrix España 63,Acción,Steven Spielberg,España,8659790
Parasite España 64,Aventura,Martin Scorsese,España,9491033
Avatar España 65,Aventura,Steven Spielberg,España,8699612
Titanic España 66,Drama,Ridley Scott,España,7316829
The Godfather España 67,Comedia,Andrey Zvyagintsev,España,6428303
Forrest Gump España 68,Drama,Bong Joon-ho,España,8455746
Avatar España 69,Romance,Steven Spielberg,España,6926176
Parasite España 70,Romance,Andrey Zvyagintsev,España,6332543
The Godfather España 71,Comedia,Guillermo del Toro,España,10242013
Avatar España 72,Crimen,Christopher Nolan,España,8135924
Avatar España 73,Drama,Quentin Tarantino,España,7515845
Forrest Gump España 74,Thriller,Ridley Scott,España,9174992
Parasite España 75,Thriller,Pedro Almodóvar,España,8319291
Pulp Fiction España 76,Crimen,Guillermo del Toro,España,6497671
Forrest Gump España 77,Drama,Hayao Miyazaki,España,7568862
Avatar España 78,Crimen,James Cameron,España,8737838
Inception España 79,Crimen,Martin Scorsese,España,8885735
The Godfather España 80,Aventura,Quentin Tarantino,España,10694776
Inception España 81,Drama,Guillermo del Toro,España,5417881
Pulp Fiction España 82,Comedia,Hayao Miyazaki,España,7739547
The Godfather España 83,Thriller,Guillermo del Toro,España,8307823
Titanic España 84,Drama,James Cameron,España,10724111
Pulp Fiction España 85,Ciencia ficción,Hayao Miyazaki,España,10554940
Pulp Fiction España 86,Acción,James Cameron,España,7782439
The Godfather España 87,Drama,Hayao Miyazaki,España,6399259
Interstellar España 88,Drama,Pedro Almodóvar,España,9019440
Gladiator España 89,Romance,Bong Joon-ho,España,10073455
Parasite España 90,Acción,Pedro Almodóvar,España,10491422
Gladiator España 91,Drama,Quentin Tarantino,España,5515913
Pulp Fiction España 92,Drama,Steven Spielberg,España,7537190
The Matrix España 93,Crimen,Bong Joon-ho,España,7189264
Forrest Gump España 94,Thriller,Guillermo del Toro,España,7713937
The Matrix España 95,Ciencia ficción,Guillermo del Toro,España,5855307
The Matrix España 96,Aventura,Quentin Tarantino,España,6311517
Titanic España 97,Drama,Bong Joon-ho,España,6219193
Inception España 98,Thriller,Steven Spielberg,España,8585812
Inception España 99,Crimen,Hayao Miyazaki,España,7415590
Inception España 100,Ciencia ficción,Guillermo del Toro,España,8345521
Inception Brasil 1,Thriller,Quentin Tarantino,Brasil,6198240
The Godfather Brasil 2,Comedia,Steven Spielberg,Brasil,7678954
The Matrix Brasil 3,Acción,Ridley Scott,Brasil,10679864
Forrest Gump Brasil 4,Ciencia ficción,Christopher Nolan,Brasil,7316493
Pulp Fiction Brasil 5,Ciencia ficción,Guillermo del Toro,Brasil,10461353
Gladiator Brasil 6,Romance,Christopher Nolan,Brasil,7856016
Interstellar Brasil 7,Thriller,Quentin Tarantino,Brasil,10405267
The Dark Knight Brasil 8,Romance,Francis Ford Coppola,Brasil,6923577
Parasite Brasil 9,Crimen,Andrey Zvyagintsev,Brasil,8589219
Forrest Gump Brasil 10,Crimen,James Cameron,Brasil,9121458
Parasite Brasil 11,Romance,Steven Spielberg,Brasil,9865621
The Dark Knight Brasil 12,Thriller,Hayao Miyazaki,Brasil,6187914
Interstellar Brasil 13,Drama,Pedro Almodóvar,Brasil,10479612
Forrest Gump Brasil 14,Crimen,James Cameron,Brasil,8527294
Titanic Brasil 15,Drama,Quentin Tarantino,Brasil,7589271
Titanic Brasil 16,Crimen,Francis Ford Coppola,Brasil,7567731
The Godfather Brasil 17,Comedia,James Cameron,Brasil,7825089
Titanic Brasil 18,Romance,Martin Scorsese,Brasil,10600170
The Dark Knight Brasil 19,Aventura,Ridley Scott,Brasil,6771803
Titanic Brasil 20,Comedia,Christopher Nolan,Brasil,9150479
The Godfather Brasil 21,Aventura,Pedro Almodóvar,Brasil,7693482
Titanic Brasil 22,Ciencia ficción,Christopher Nolan,Brasil,10309745
The Godfather Brasil 23,Comedia,James Cameron,Brasil,7031621
The Matrix Brasil 24,Aventura,Andrey Zvyagintsev,Brasil,7838271
Titanic Brasil 25,Thriller,Bong Joon-ho,Brasil,8345855
Titanic Brasil 26,Romance,Guillermo del Toro,Brasil,8303896
Interstellar Brasil 27,Aventura,Andrey Zvyagintsev,Brasil,6445070
Avatar Brasil 28,Drama,Bong Joon-ho,Brasil,9638956
Inception Brasil 29,Drama,Martin Scorsese,Brasil,6823548
Parasite Brasil 30,Aventura,Martin Scorsese,Brasil,6930417
Titanic Brasil 31,Acción,Christopher Nolan,Brasil,6164119
The Matrix Brasil 32,Ciencia ficción,Christopher Nolan,Brasil,9459465
Parasite Brasil 33,Crimen,Francis Ford Coppola,Brasil,9846702
The Dark Knight Brasil 34,Aventura,Francis Ford Coppola,Brasil,7026489
Forrest Gump Brasil 35,Thriller,Bong Joon-ho,Brasil,6340646
Parasite Brasil 36,Drama,Martin Scorsese,Brasil,6742013
Interstellar Brasil 37,Acción,Christopher Nolan,Brasil,8899413
Titanic Brasil 38,Acción,James Cameron,Brasil,7234933
Interstellar Brasil 39,Romance,Andrey Zvyagintsev,Brasil,10252771
Titanic Brasil 40,Ciencia ficción,James Cameron,Brasil,8533629
Inception Brasil 41,Drama,Quentin Tarantino,Brasil,5617839
The Matrix Brasil 42,Drama,Martin Scorsese,Brasil,8600780
Inception Brasil 43,Comedia,Francis Ford Coppola,Brasil,8242383
The Dark Knight Brasil 44,Thriller,James Cameron,Brasil,10788769
Avatar Brasil 45,Ciencia ficción,Andrey Zvyagintsev,Brasil,5421052
The Matrix Brasil 46,Aventura,Guillermo del Toro,Brasil,6123162
Inception Brasil 47,Aventura,Ridley Scott,Brasil,8599807
Titanic Brasil 48,Acción,Steven Spielberg,Brasil,8465790
Parasite Brasil 49,Ciencia ficción,Andrey Zvyagintsev,Brasil,7143902
Interstellar Brasil 50,Romance,Hayao Miyazaki,Brasil,9756945
Pulp Fiction Brasil 51,Romance,Christopher Nolan,Brasil,5734673
Forrest Gump Brasil 52,Acción,Ridley Scott,Brasil,8425462
The Matrix Brasil 53,Acción,Andrey Zvyagintsev,Brasil,9803204
Forrest Gump Brasil 54,Ciencia ficción,Ridley Scott,Brasil,7975608
The Matrix Brasil 55,Crimen,Guillermo del Toro,Brasil,10498523
Avatar Brasil 56,Ciencia ficción,Ridley Scott,Brasil,9535491
The Dark Knight Brasil 57,Ciencia ficción,Hayao Miyazaki,Brasil,5841005
Titanic Brasil 58,Aventura,Martin Scorsese,Brasil,7610703
The Dark Knight Brasil 59,Thriller,Francis Ford Coppola,Brasil,6419777
Inception Brasil 60,Crimen,Hayao Miyazaki,Brasil,10487442
Forrest Gump Brasil 61,Acción,Guillermo del Toro,Brasil,7064503
Avatar Brasil 62,Thriller,Hayao Miyazaki,Brasil,7067485
The Dark Knight Brasil 63,Thriller,Martin Scorsese,Brasil,6238168
Titanic Brasil 64,Thriller,Andrey Zvyagintsev,Brasil,8259090
The Dark Knight Brasil 65,Aventura,Francis Ford Coppola,Brasil,7328610
Interstellar Brasil 66,Thriller,Francis Ford Coppola,Brasil,9079380
Inception Brasil 67,Crimen,James Cameron,Brasil,9944190
The Godfather Brasil 68,Comedia,Christopher Nolan,Brasil,7544301
The Dark Knight Brasil 69,Crimen,Ridley Scott,Brasil,7260322
The Godfather Brasil 70,Thriller,Bong Joon-ho,Brasil,9532229
Forrest Gump Brasil 71,Comedia,Steven Spielberg,Brasil,8012059
Gladiator Brasil 72,Thriller,Bong Joon-ho,Brasil,7421548
The Matrix Brasil 73,Romance,Quentin Tarantino,Brasil,7940594
Interstellar Brasil 74,Thriller,Francis Ford Coppola,Brasil,8608117
Parasite Brasil 75,Acción,Hayao Miyazaki,Brasil,9556049
Forrest Gump Brasil 76,Thriller,Hayao Miyazaki,Brasil,9541581
The Godfather Brasil 77,Thriller,Ridley Scott,Brasil,6810631
Inception Brasil 78,Ciencia ficción,Christopher Nolan,Brasil,7719952
The Dark Knight Brasil 79,Drama,Steven Spielberg,Brasil,7366196
Inception Brasil 80,Aventura,Steven Spielberg,Brasil,5412809
The Matrix Brasil 81,Ciencia ficción,Andrey Zvyagintsev,Brasil,8727966
Avatar Brasil 82,Drama,Christopher Nolan,Brasil,9005643
Avatar Brasil 83,Acción,Bong Joon-ho,Brasil,9415653
Gladiator Brasil 84,Crimen,Pedro Almodóvar,Brasil,6381328
Parasite Brasil 85,Ciencia ficción,Guillermo del Toro,Brasil,10620451
Titanic Brasil 86,Aventura,Christopher Nolan,Brasil,7123199
Parasite Brasil 87,Drama,Hayao Miyazaki,Brasil,9995150
The Dark Knight Brasil 88,Ciencia ficción,Christopher Nolan,Brasil,8624085
The Godfather Brasil 89,Crimen,Christopher Nolan,Brasil,5791981
Pulp Fiction Brasil 90,Aventura,Ridley Scott,Brasil,8083369
Pulp Fiction Brasil 91,Thriller,James Cameron,Brasil,5815854
Parasite Brasil 92,Comedia,James Cameron,Brasil,10264326
Inception Brasil 93,Romance,Steven Spielberg,Brasil,5662918
The Godfather Brasil 94,Acción,Ridley Scott,Brasil,8504657
Pulp Fiction Brasil 95,Crimen,Ridley Scott,Brasil,8022547
Parasite Brasil 96,Drama,Christopher Nolan,Brasil,6043902
Gladiator Brasil 97,Acción,Bong Joon-ho,Brasil,8061189
Inception Brasil 98,Romance,Hayao Miyazaki,Brasil,8034569
The Dark Knight Brasil 99,Aventura,Bong Joon-ho,Brasil,6435740
The Dark Knight Brasil 100,Acción,Hayao Miyazaki,Brasil,10765902
Titanic Brasil 101,Aventura,Steven Spielberg,Brasil,9246711
Parasite Brasil 102,Comedia,Francis Ford Coppola,Brasil,7481949
